FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Helen Bateup,A5089305536,Rio,"['Frank Soldner', 'Vikram Khurana', 'Pietro Camilli', 'Lorenz Studer', 'Dario Alessi', 'Frank Soldner', 'John Hardy', 'Fritz Sedlazeck', 'Frank Soldner', 'Suzanne Pfeffer', 'Frank Soldner', 'Suzanne Pfeffer']"
Dirk Hockemeyer,A5045835078,Rio,"['Frank Soldner', 'Vikram Khurana', 'Pietro Camilli', 'Lorenz Studer', 'Dario Alessi', 'Frank Soldner', 'John Hardy', 'Fritz Sedlazeck', 'Frank Soldner', 'Suzanne Pfeffer', 'Frank Soldner', 'Suzanne Pfeffer']"
Frank Soldner,A5070152031,Rio,"['Frank Soldner', 'Vikram Khurana', 'Pietro Camilli', 'Lorenz Studer', 'Dario Alessi', 'Frank Soldner', 'John Hardy', 'Fritz Sedlazeck', 'Frank Soldner', 'Suzanne Pfeffer', 'Frank Soldner', 'Suzanne Pfeffer']"
Christos Proukakis,A5012157016,Voet,"['Anthony Schapira', 'Anthony Schapira', 'Fabio Blandini']"
Fabio Blandini,A5007019878,Schapira,['Anthony Schapira']
Michela Deleidi,A5056933907,Schapira,"['Sonia Gandhi', 'Michela Deleidi']"
Donato Monte,A5035849217,Schapira,"['Donato Monte', 'Michela Deleidi', 'Rodger Liddle', 'Sonia Gandhi', 'Donato Monte']"
Mathieu Almeida,A5067904253,Schapira,"['Anthony Schapira', 'Haydeh Payami']"
Mel Feany,A5002571663,Scherzer,"['Hélène Plun‐Favreau', 'Mel Feany', 'Vikram Khurana', 'Mina Ryten', 'Jeffrey Kordower']"
Xianjun Dong,A5053690577,Scherzer,"['Hélène Plun‐Favreau', 'Mel Feany', 'David Sulzer', 'Clemens Scherzer']"
Su‐Chun Zhang,A5030394012,Scherzer,['Su‐Chun Zhang']
Vikram Khurana,A5055136563,Studer,"['Rubén Fernández‐Busnadiego', 'Vikram Khurana', 'Lorenz Studer', 'Vikram Khurana', 'Mina Ryten', 'Jeffrey Kordower']"
Joshua Levin,A5024425176,Scherzer,[]
Michael Schlossmacher,A5000268173,Schlossmacher,"['Maxime Rousseaux', 'Le Zhang', 'Maxime Rousseaux', 'Michael Schlossmacher']"
Maxime Rousseaux,A5054577159,Schlossmacher,"['Maxime Rousseaux', 'Le Zhang', 'Maxime Rousseaux', 'Maxime Rousseaux', 'Hong‐Yuan Chu']"
Benjamin Arenkiel,A5047948555,Schlossmacher,"['Le Zhang', 'Maxime Rousseaux']"
Christine Stadelmann,A5036052976,Schlossmacher,"['Le Zhang', 'Maxime Rousseaux']"
Lorenz Studer,A5065135570,Studer,"['Su‐Chun Zhang', 'Lorenz Studer', 'Clemens Scherzer', 'Lorenz Studer', 'Vikram Khurana', 'Mina Ryten', 'Jeffrey Kordower']"
Helen Schwerdt,A5035254479,Strick,[]
William Stauffer,A5070330500,Strick,[]
Robert Turner,A5018445297,Strick,['Robert Turner']
Scott Grafton,A5082140726,Strick,['Hong‐Yuan Chu']
Hong‐Yuan Chu,A5073427053,Wichmann,"['Hong‐Yuan Chu', 'Hong‐Yuan Chu', 'Maxime Rousseaux', 'Hong‐Yuan Chu', 'Hong‐Yuan Chu', 'Maxime Rousseaux', 'Hong‐Yuan Chu', 'Hong‐Yuan Chu', 'Maxime Rousseaux', 'Michael Henderson']"
Yoland Smith,A5051289855,Wichmann,"['Hong‐Yuan Chu', 'Hong‐Yuan Chu']"
Thomas Wichmann,A5042569468,Wichmann,"['Hong‐Yuan Chu', 'Hong‐Yuan Chu']"
Joseph Powell,A5063458641,Studer,"['Clemens Scherzer', 'Vikram Khurana', 'Mina Ryten', 'Jeffrey Kordower']"
Cecilia Arlehamn,A5066674783,Sulzer,['Alessandro Sette']
José Obeso,A5062838955,Vila,['D. Surmeier']
Rui Costa,A5060965799,Surmeier,[]
D. Surmeier,A5033742239,Surmeier,"['D. Surmeier', 'Sonia Gandhi', 'D. Surmeier']"
Jun Ding,A5070396294,Surmeier,"['Jun Ding', 'Jun Ding', 'Jun Ding']"
Yang Dan,A5036365985,Surmeier,[]
Ann Kennedy,A5071419759,Surmeier,['Ann Kennedy']
Peter Vangheluwe,A5008583951,Vangheluwe,"['Peter Vangheluwe', 'Peter Vangheluwe', 'Veerle Baekelandt', 'Peter Vangheluwe', 'Peter Vangheluwe', 'Veerle Baekelandt', 'Peter Vangheluwe', 'Pietro Camilli', 'Ellen Sidransky', 'Peter Vangheluwe', 'Peter Vangheluwe', 'Peter Vangheluwe', 'Veerle Baekelandt', 'Richard Wade‐Martins', 'Peter Vangheluwe']"
Veerle Baekelandt,A5081531120,Vangheluwe,"['Veerle Baekelandt', 'Peter Vangheluwe', 'Peter Vangheluwe', 'Veerle Baekelandt', 'Richard Wade‐Martins', 'Peter Vangheluwe']"
Joel Blanchard,A5027087812,Vangheluwe,"['Joel Blanchard', 'Richard Wade‐Martins', 'Peter Vangheluwe']"
Joseph Lyons,A5086345439,Vangheluwe,"['Peter Vangheluwe', 'Veerle Baekelandt']"
Nicola Mercuri,A5082528797,Vila,[]
Miquel Vila,A5059189782,Vila,"['Miquel Vila', 'Miquel Vila', 'Xiqun Chen', 'Miquel Vila']"
Stein Aerts,A5002137087,Voet,['Stein Aerts']
Bernard Thienpont,A5081498592,Voet,[]
Thierry Voet,A5033632636,Voet,[]
Zane Jaunmuktane,A5063134863,Hardy,[]
Adriana Galván,A5056482545,Wichmann,[]
Steven Lee,A5061407972,Wood,['Steven Lee']
Tom Hnasko,A5013611528,Awatramani,[]
Thomas Biederer,A5076555389,Biederer,[]
Elena Gracheva,A5022502578,Biederer,[]
Michael Higley,A5031151569,Biederer,[]
Cagla Eroglu,A5017962710,Calakos,[]
Sergiu Pasca,A5088379859,Calakos,[]
Timothy Chan,A5080223712,Chen,[]
Dinos (Konstantinos) Meletis,A5004457607,Cragg,[]
Richard Wade-Martins,A5028723665,Cragg,[]
Pietro De Camilli,A5037459294,De Camilli,[]
Louis-Eric Trudeau,A5024580674,Desjardins,[]
Janelle Drouin-Ouellet,A5078393119,Desjardins,[]
Lerner Talia,A5042504580,Edwards,[]
Ashley Seifert,A5063109286,Gradinaru,[]
David Van Valen,A5045170248,Gradinaru,[]
Rui Chang,A5017619994,Hafler,[]
Ramnik Xavier,A5056408708,Hafler,[]
Maria Grazia Spillantini,A5037609259,Hardy,[]
Ruben Fernandez-Busnadiego,A5061030857,Harper,[]
J. Wade Harper,A5047746208,Harper,[]
Franz-Ulrich Hartl,A5086048712,Harper,[]
Molly Gale Hammell,A5032075946,Jakobsson,[]
Agnete Kirkeby,A5071467664,Jakobsson,[]
Jennifer Johnston,A5016649904,Kirik,[]
Mike Henderson,A5034385515,Lee,[]
Malu Tansey,A5008036209,Liddle,[]
Nicola Segata,A5068576885,MAC,[]
Levi Waldron,A5052283192,MAC,[]
Xiang-Dong Fu,A5103144746,Mobley,[]
Steve Dowdy,A5048054072,Mobley,[]
Yuanchao Xue,A5086086716,Mobley,[]
Allen Wang,A5052581222,Mobley,[]
Samara Reck-Peterson,A5021023250,Reck-Peterson,[]
